Layer,Address,Decimal,Hex,Binary
conv1,977,49,31,00110001
conv1,978,-22,EA,11101010
conv1,979,23,17,00010111
conv1,980,-23,E9,11101001
conv1,981,-36,DC,11011100
conv1,982,-42,D6,11010110
conv1,983,-35,DD,11011101
conv1,984,-36,DC,11011100
conv1,985,35,23,00100011
conv1,986,-45,D3,11010011
conv1,987,-38,DA,11011010
conv1,988,25,19,00011001
conv1,989,-42,D6,11010110
conv1,990,-47,D1,11010001
conv1,991,42,2A,00101010
conv1,992,36,24,00100100
conv1,993,-30,E2,11100010
conv1,994,-46,D2,11010010
conv1,995,-30,E2,11100010
conv1,996,30,1E,00011110
conv1,997,34,22,00100010
conv1,998,-44,D4,11010100
conv1,999,32,20,00100000
conv1,1000,35,23,00100011
conv1,1001,56,38,00111000
conv1,1002,25,19,00011001
conv1,1003,32,20,00100000
conv1,1004,-29,E3,11100011
conv1,1005,34,22,00100010
conv1,1006,40,28,00101000
conv1,1007,25,19,00011001
conv1,1008,-26,E6,11100110
conv1,1009,37,25,00100101
conv1,1010,-23,E9,11101001
conv1,1011,30,1E,00011110
conv1,1012,39,27,00100111
conv1,1013,67,43,01000011
conv1,1014,56,38,00111000
conv1,1015,-29,E3,11100011
conv1,1016,49,31,00110001
conv1,1017,44,2C,00101100
conv1,1018,-12,F4,11110100
conv1,1019,31,1F,00011111
conv1,1020,34,22,00100010
conv1,1021,-22,EA,11101010
conv1,1022,-45,D3,11010011
conv1,1023,25,19,00011001
conv1,1024,69,45,01000101
conv1,1025,-48,D0,11010000
conv1,1026,-42,D6,11010110
conv1,1027,31,1F,00011111
conv1,1028,-14,F2,11110010
conv1,1029,66,42,01000010
conv1,1030,-53,CB,11001011
conv1,1031,-22,EA,11101010
conv1,1032,-29,E3,11100011
conv1,1033,-30,E2,11100010
conv1,1034,48,30,00110000
conv1,1035,-33,DF,11011111
conv1,1036,-21,EB,11101011
conv1,1037,-24,E8,11101000
conv1,1038,19,13,00010011
conv1,1039,28,1C,00011100
conv1,1040,-27,E5,11100101
conv1,1041,-26,E6,11100110
conv1,1042,20,14,00010100
conv1,1043,18,12,00010010
conv1,1044,21,15,00010101
conv1,1045,-20,EC,11101100
conv1,1046,-20,EC,11101100
conv1,1047,30,1E,00011110
conv1,1048,-20,EC,11101100
conv1,1049,-24,E8,11101000
conv1,1050,33,21,00100001
conv1,1051,26,1A,00011010
conv1,1052,-19,ED,11101101
conv1,1053,27,1B,00011011
conv1,1054,28,1C,00011100
conv1,1055,-23,E9,11101001
conv1,1056,-23,E9,11101001
conv1,1057,25,19,00011001
conv1,1058,20,14,00010100
conv1,1059,-33,DF,11011111
conv1,1060,18,12,00010010
conv1,1061,34,22,00100010
conv1,1062,-43,D5,11010101
conv1,1063,-44,D4,11010100
conv1,1064,-23,E9,11101001
conv1,1065,-32,E0,11100000
conv1,1066,-57,C7,11000111
conv1,1067,-32,E0,11100000
conv1,1068,-19,ED,11101101
conv1,1069,32,20,00100000
conv1,1070,22,16,00010110
conv1,1071,-29,E3,11100011
conv1,1072,-19,ED,11101101
conv1,1073,38,26,00100110
conv1,1074,37,25,00100101
conv1,1075,-30,E2,11100010
conv1,1076,-22,EA,11101010
conv1,1077,-32,E0,11100000
conv1,1078,-24,E8,11101000
conv1,1079,17,11,00010001
conv1,1080,-21,EB,11101011
conv1,1081,-26,E6,11100110
conv1,1082,-31,E1,11100001
conv1,1083,-34,DE,11011110
conv1,1084,-37,DB,11011011
conv1,1085,-31,E1,11100001
conv1,1086,-43,D5,11010101
conv1,1087,-19,ED,11101101
conv1,1088,-19,ED,11101101
conv1,1089,34,22,00100010
conv1,1090,-25,E7,11100111
conv1,1091,-40,D8,11011000
conv1,1092,-28,E4,11100100
conv1,1093,29,1D,00011101
conv1,1094,30,1E,00011110
conv1,1095,35,23,00100011
conv1,1096,25,19,00011001
conv1,1097,-37,DB,11011011
conv1,1098,37,25,00100101
conv1,1099,36,24,00100100
conv1,1100,44,2C,00101100
conv1,1101,-22,EA,11101010
conv1,1102,29,1D,00011101
conv1,1103,-20,EC,11101100
conv1,1104,-37,DB,11011011
conv1,1105,41,29,00101001
conv1,1106,34,22,00100010
conv1,1107,39,27,00100111
conv1,1108,-23,E9,11101001
conv1,1109,53,35,00110101
conv1,1110,29,1D,00011101
conv1,1111,-18,EE,11101110
conv1,1112,36,24,00100100
conv1,1113,-34,DE,11011110
conv1,1114,44,2C,00101100
conv1,1115,51,33,00110011
conv1,1116,-21,EB,11101011
conv1,1117,-28,E4,11100100
conv1,1118,49,31,00110001
conv1,1119,43,2B,00101011
conv1,1120,38,26,00100110
conv1,1121,48,30,00110000
conv1,1122,28,1C,00011100
conv1,1123,29,1D,00011101
conv1,1124,-31,E1,11100001
conv1,1125,15,0F,00001111
conv1,1126,-14,F2,11110010
conv1,1127,36,24,00100100
conv1,1128,-44,D4,11010100
conv1,1129,-17,EF,11101111
conv1,1130,26,1A,00011010
conv1,1131,-45,D3,11010011
conv1,1132,-21,EB,11101011
conv1,1133,-22,EA,11101010
conv1,1134,-38,DA,11011010
conv1,1135,-28,E4,11100100
conv1,1136,-27,E5,11100101
conv1,1137,40,28,00101000
conv1,1138,-38,DA,11011010
conv1,1139,-31,E1,11100001
conv1,1140,-18,EE,11101110
conv1,1141,18,12,00010010
conv1,1142,37,25,00100101
conv1,1143,-24,E8,11101000
conv1,1144,-36,DC,11011100
conv1,1145,-24,E8,11101000
conv1,1146,18,12,00010010
conv1,1147,28,1C,00011100
conv1,1148,37,25,00100101
conv1,1149,-20,EC,11101100
conv1,1150,-25,E7,11100111
conv1,1151,29,1D,00011101
conv1,1152,33,21,00100001
conv1,1153,18,12,00010010
conv1,1154,27,1B,00011011
conv1,1155,33,21,00100001
conv1,1156,-28,E4,11100100
conv1,1157,22,16,00010110
conv1,1158,21,15,00010101
conv1,1159,26,1A,00011010
conv1,1160,24,18,00011000
conv1,1161,-23,E9,11101001
conv1,1162,-31,E1,11100001
conv1,1163,-21,EB,11101011
conv1,1164,33,21,00100001
conv1,1165,-48,D0,11010000
conv1,1166,-20,EC,11101100
conv1,1167,26,1A,00011010
conv1,1168,-22,EA,11101010
conv1,1169,52,34,00110100
conv1,1170,-36,DC,11011100
conv1,1171,-46,D2,11010010
conv1,1172,-20,EC,11101100
conv1,1173,40,28,00101000
conv1,1174,48,30,00110000
conv1,1175,-14,F2,11110010
conv1,1176,31,1F,00011111
conv1,1177,-27,E5,11100101
conv1,1178,-64,C0,11000000
conv1,1179,-19,ED,11101101
conv1,1180,34,22,00100010
conv1,1181,24,18,00011000
conv1,1182,29,1D,00011101
conv1,1183,-28,E4,11100100
conv1,1184,-26,E6,11100110
conv1,1185,37,25,00100101
conv1,1186,22,16,00010110
conv1,1187,-36,DC,11011100
conv1,1188,31,1F,00011111
conv1,1189,-25,E7,11100111
conv1,1190,-28,E4,11100100
conv1,1191,32,20,00100000
conv1,1192,-27,E5,11100101
conv1,1193,48,30,00110000
conv1,1194,-36,DC,11011100
conv1,1195,-28,E4,11100100
conv1,1196,-17,EF,11101111
conv1,1197,-36,DC,11011100
conv1,1198,26,1A,00011010
conv1,1199,-28,E4,11100100
conv1,1200,38,26,00100110
conv1,1201,21,15,00010101
conv1,1202,-28,E4,11100100
conv1,1203,-22,EA,11101010
conv1,1204,45,2D,00101101
conv1,1205,81,51,01010001
conv1,1206,37,25,00100101
conv1,1207,-31,E1,11100001
conv1,1208,-22,EA,11101010
conv1,1209,-31,E1,11100001
conv1,1210,29,1D,00011101
conv1,1211,55,37,00110111
conv1,1212,-35,DD,11011101
conv1,1213,-35,DD,11011101
conv1,1214,18,12,00010010
conv1,1215,24,18,00011000
conv1,1216,41,29,00101001
conv1,1217,-35,DD,11011101
conv1,1218,34,22,00100010
conv1,1219,43,2B,00101011
conv1,1220,57,39,00111001
conv1,1221,45,2D,00101101
conv1,1222,-21,EB,11101011
conv1,1223,22,16,00010110
conv1,1224,49,31,00110001
conv1,1225,-22,EA,11101010
conv1,1226,21,15,00010101
conv1,1227,22,16,00010110
conv1,1228,-24,E8,11101000
conv1,1229,-28,E4,11100100
conv1,1230,22,16,00010110
conv1,1231,-51,CD,11001101
conv1,1232,-31,E1,11100001
conv1,1233,-38,DA,11011010
conv1,1234,-23,E9,11101001
conv1,1235,38,26,00100110
conv1,1236,-29,E3,11100011
conv1,1237,42,2A,00101010
conv1,1238,-44,D4,11010100
conv1,1239,-31,E1,11100001
conv1,1240,-24,E8,11101000
conv1,1241,-18,EE,11101110
conv1,1242,-30,E2,11100010
conv1,1243,-30,E2,11100010
conv1,1244,-35,DD,11011101
conv1,1245,20,14,00010100
conv1,1246,29,1D,00011101
conv1,1247,-22,EA,11101010
conv1,1248,19,13,00010011
conv1,1249,23,17,00010111
conv1,1250,40,28,00101000
conv1,1251,-23,E9,11101001
conv1,1252,19,13,00010011
conv1,1253,20,14,00010100
conv1,1254,18,12,00010010
conv1,1255,-20,EC,11101100
conv1,1256,17,11,00010001
conv1,1257,-24,E8,11101000
conv1,1258,19,13,00010011
conv1,1259,25,19,00011001
conv1,1260,20,14,00010100
conv1,1261,20,14,00010100
conv1,1262,22,16,00010110
conv1,1263,28,1C,00011100
conv1,1264,-31,E1,11100001
conv1,1265,-40,D8,11011000
conv1,1266,-19,ED,11101101
conv1,1267,37,25,00100101
conv1,1268,23,17,00010111
conv1,1269,-33,DF,11011111
conv1,1270,-54,CA,11001010
conv1,1271,48,30,00110000
conv1,1272,40,28,00101000
conv1,1273,-32,E0,11100000
conv1,1274,-52,CC,11001100
conv1,1275,24,18,00011000
conv1,1276,43,2B,00101011
conv1,1277,-33,DF,11011111
conv1,1278,-12,F4,11110100
conv1,1279,34,22,00100010
conv1,1280,-23,E9,11101001
conv1,1281,-28,E4,11100100
conv1,1282,35,23,00100011
conv1,1283,25,19,00011001
conv1,1284,24,18,00011000
conv1,1285,-49,CF,11001111
conv1,1286,22,16,00010110
conv1,1287,-21,EB,11101011
conv1,1288,23,17,00010111
conv1,1289,-23,E9,11101001
conv1,1290,27,1B,00011011
conv1,1291,35,23,00100011
conv1,1292,-33,DF,11011111
conv1,1293,38,26,00100110
conv1,1294,-22,EA,11101010
conv1,1295,33,21,00100001
conv1,1296,-25,E7,11100111
conv1,1297,-48,D0,11010000
conv1,1298,24,18,00011000
conv1,1299,-50,CE,11001110
conv1,1300,33,21,00100001
conv1,1301,41,29,00101001
conv1,1302,19,13,00010011
conv1,1303,25,19,00011001
conv1,1304,21,15,00010101
conv1,1305,39,27,00100111
conv1,1306,22,16,00010110
conv1,1307,33,21,00100001
conv1,1308,36,24,00100100
conv1,1309,21,15,00010101
conv1,1310,70,46,01000110
conv1,1311,41,29,00101001
conv1,1312,30,1E,00011110
conv1,1313,-34,DE,11011110
conv1,1314,27,1B,00011011
conv1,1315,29,1D,00011101
conv1,1316,81,51,01010001
conv1,1317,-32,E0,11100000
conv1,1318,35,23,00100011
conv1,1319,36,24,00100100
conv1,1320,-19,ED,11101101
conv1,1321,56,38,00111000
conv1,1322,25,19,00011001
conv1,1323,-22,EA,11101010
conv1,1324,38,26,00100110
conv1,1325,22,16,00010110
conv1,1326,23,17,00010111
conv1,1327,32,20,00100000
conv1,1328,39,27,00100111
conv1,1329,21,15,00010101
conv1,1330,-33,DF,11011111
conv1,1331,20,14,00010100
conv1,1332,-20,EC,11101100
conv1,1333,-20,EC,11101100
conv1,1334,27,1B,00011011
conv1,1335,-18,EE,11101110
conv1,1336,-31,E1,11100001
conv1,1337,-22,EA,11101010
conv1,1338,26,1A,00011010
conv1,1339,-27,E5,11100101
conv1,1340,-18,EE,11101110
conv1,1341,-25,E7,11100111
conv1,1342,-30,E2,11100010
conv1,1343,-47,D1,11010001
conv1,1344,-37,DB,11011011
conv1,1345,28,1C,00011100
conv1,1346,28,1C,00011100
conv1,1347,33,21,00100001
conv1,1348,-31,E1,11100001
conv1,1349,-33,DF,11011111
conv1,1350,20,14,00010100
conv1,1351,40,28,00101000
conv1,1352,-20,EC,11101100
